"filename", "language", "C++", "YAML", "Dart", "Markdown", "JSON", "HTML", "Swift", "XML", "Java Properties", "Properties", "comment", "blank", "total"
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\components\show_logout_confirmation.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 2, 3, 52
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\components\theme_switch.dart", "Dart", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 3, 5, 109
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\favorites\favorites_screen.dart", "Dart", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 2, 10, 182
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\home\components\category_grid.dart", "Dart", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 1, 4, 145
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\home\components\commerce_card.dart", "Dart", 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 3, 4, 211
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\home\components\commerce_list.dart", "Dart", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 2, 8, 194
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\home\components\commerce_search_bar.dart", "Dart", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 10, 216
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\home\components\search_bar.dart", "Dart", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 10, 216
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\home\home_screen.dart", "Dart", 0, 0, 314, 0, 0, 0, 0, 0, 0, 0, 3, 16, 333
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\profile\profile_avatar.dart", "Dart", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 1, 9, 93
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\profile\profile_option_card.dart", "Dart", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 4, 82
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\profile\profile_screen.dart", "Dart", 0, 0, 417, 0, 0, 0, 0, 0, 0, 0, 2, 17, 436
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\commerce_dashboard_screen.dart", "Dart", 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 3, 14, 225
